"commune","type","infraction","code_reg","code_dep","lat","lng","ville_ref"
"Savignac-de-Duras","P",31.93,72,"47",44.7173874905,0.184068178944,"Marmande"
"Savignac-Mona","P",18.650000000000002,73,"32",43.4856907857,1.010147796,"Auch"
"Savigné-sous-le-Lude","P",19.96,52,"72",47.629906916,0.0724159454527,"Flèche (La)"
"Savigneux","P",30.450000000000003,82,"01",45.997346828,4.8576200906,"Trévoux"
"Savigny","P",32.71,82,"69",45.8200944219,4.56587314617,"Arbresle (L')"
"Savigny-en-Véron","P",22.73,24,"37",47.2111243782,0.130191774161,"Chinon"
"Savigny-Lévescault","P",12.24,54,"86",46.5289656905,0.477909234429,"Montmorillon"
"Savigny-sur-Clairis","P",36.32,26,"89",48.0762765897,3.08345438352,"Sens"
"Savines-le-Lac","P",27.830000000000002,93,"05",44.5273256992,6.39368059257,"Briançon"
"Savoillan","P",26.379999999999995,93,"84",44.1744446408,5.37283802798,"Carpentras"
"Savonnières-en-Perthois","P",21.080000000000002,41,"55",48.6061624959,5.13483299132,"Commercy"
"Saxi-Bourdon","P",18.830000000000002,26,"58",47.056209327,3.48742996327,"Château-Chinon"
"Sazeret","P",11.770000000000001,83,"03",46.3468702581,2.96976112683,"Montluçon"
"Scaër","P",18.22,53,"29",48.0279903072,-3.73073835764,"Quimperlé"
"Sceaux","P",42.38000000000001,11,"92",48.776816369,2.29529414514,"Châtenay-Malabry - Sceaux"
"Schaffhouse-près-Seltz","P",10.290000000000001,42,"67",48.9121321004,8.08967677055,"Wissembourg"
"Scheibenhard","P",10.290000000000001,42,"67",48.9694902772,8.14441884715,"Wissembourg"
"Scherwiller","P",20.27,42,"67",48.2952491317,7.41512520333,"Sélestat"
"Schirrhoffen","P",13.62,42,"67",48.8069986345,7.92537675508,"Haguenau"
"Schoenau","P",20.27,42,"67",48.2260065064,7.65066673603,"Sélestat"
"Schorbach","P",11.49,41,"57",49.0806906445,7.40599666671,"Sarreguemines"
"Schwoben","P",15.11,42,"68",47.6075218956,7.29884312664,"Altkirch"
"Sciez","P",28.23,82,"74",46.3247332955,6.38071834154,"Thonon-les-Bains"
"Scionzier","P",36.13999999999999,82,"74",46.0486254419,6.54669166581,"Bonneville"
"Scy-Chazelles","P",58.230000000000004,41,"57",49.1140417721,6.11984882666,"Metz"
"Sebourg","P",20.57,31,"59",50.3441268565,3.64525979429,"Valenciennes"
"Sécheras","P",22.980000000000004,82,"07",45.1291892251,4.77685404459,"Tournon-sur-Rhône"
"Séchilienne","P",34.89000000000001,82,"38",45.0726055114,5.83002564544,"Mure (La)"
"Secourt","P",25.24,41,"57",48.9485643363,6.27165031944,"Metz"
"Seebach","P",10.290000000000001,42,"67",48.9644209228,7.99028108589,"Wissembourg"
"Séglien","P",27.849999999999998,53,"56",48.102365362,-3.15150581727,"Pontivy"
"Segré","P",20.939999999999998,52,"49",47.7016654227,-0.863354104119,"Segré"
"Ségry","P",22.15,24,"36",46.8846862374,2.09589433359,"Issoudun"
"Ségur","P",15.04,73,"12",44.2904669851,2.8437834647,"Millau"
"Ségus","P",19.700000000000003,73,"65",43.0601957152,-0.109294599709,"Argelès-Gazost"
"Seigné","P",32.03,54,"17",45.9513360986,-0.213550216959,"Saint-Jean-d'Angély"
